x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200,x201,x202,x203,x204,x205,x206,x207,x208,x209,x210,x211,x212,x213,x214,x215,x216,x217,x218,x219,x220,x221,x222,x223,x224,x225,x226,x227,x228,x229,x230,x231,x232,x233,x234,x235,x236,x237,x238,x239,x240,x241,x242,x243,x244,x245,x246,x247,x248,x249,x250,x251,x252,x253,x254,x255,x256,x257,x258,x259,x260,x261,x262,x263,x264,x265,x266,x267,x268,x269,x270,x271,x272,x273,x274,x275,x276,x277,x278,x279,x280,x281,x282,x283,x284,x285,x286,x287,x288,x289,x290,x291,x292,x293,x294,x295,x296,x297,x298,x299,x300,x301,x302,x303,x304,x305,x306,x307,x308,x309,x310,x311,x312,x313,x314,x315,x316,x317,x318,x319,x320,x321,x322,x323,x324,x325,x326,x327,x328,x329,x330,x331,x332,x333,x334,x335,x336,x337,x338,x339,x340,x341,x342,x343,x344,x345,x346,x347,x348,x349,x350,x351,x352,x353,x354,x355,x356,x357,x358,x359,x360,x361,x362,x363,x364,x365,x366,x367,x368,x369,x370,x371,x372,x373,x374,x375,x376,x377,x378,x379,x380,x381,x382,x383,x384,x385,x386,x387,x388,x389,x390,x391,x392,x393,x394,x395,x396,x397,x398,x399,x400,x401,x402,x403,x404,x405,x406,x407,x408,x409,x410,x411,x412,x413,x414,x415,x416,x417,x418,x419,x420,x421,x422,x423,x424,x425,x426,x427,x428,x429,x430,x431,x432,x433,x434,x435,x436,x437,x438,x439,x440,x441,x442,x443,x444,x445,x446,x447,x448,x449,x450,x451,x452,x453,x454,x455,x456,x457,x458,x459,x460,x461,x462,x463,x464,x465,x466,x467,x468,x469,x470,x471,x472,x473,x474,x475,x476,x477,x478,x479,x480,x481,x482,x483,x484,x485,x486,x487,x488,x489,x490,x491,x492,x493,x494,x495,x496,x497,x498,x499
88,1,15,4115,1010,1,196,37,250,17,88,1,30,1,19,45,6,1234,29,72,28,7,22,2746,6,124,7,18,55,43,12,9,196,2,250,37,17,111,30,1,19,1379,29,2944,28,22,45,18,190,6,137,7,12,1077,15,45,6,138,7,9,196,2,1631,37,17,111,6,192,7,30,1,19,687,6,1639,29,1655,28,7,22,2969,6,1657,3066,7,18,1619,9,196,2,1631,37,17,258,3046,1,2958,2948,2515,30,1,19,687,6,1639,29,1655,28,7,22,687,6,1657,3012,7,18,1619,9,196,2,1631,37,17,258,30,1,19,687,6,45,29,72,28,7,22,1234,6,96,7,18,55,43,12,9,196,2,250,37,17,258,6,599,7,3053,1,15,4115,2965,1,3014,1,209,3060,1,838,3067,1,2,2,2,4336,2,2,30,1,19,4115,6,29,28,7,22,687,6,96,7,18,123,43,12,9,196,2,250,37,17,258,6,599,7,30,1,6,565,563,22,1006,3022,7,9,331,37,17,282,130,1,15,4115,30,1,6,565,563,22,1006,3022,7,9,331,37,17,282,338,1,60,15,4115,23,57,1,53,1,4707,15,4115,226,1,4707,15,4115,1,4707,519,1,459,85,1,196,2,250,37,17,192,87,1,4707,4704,24,918,1,694,1115,1,1083,1,1086,1,276,4707,4704,24,2,3690,24,191,196,2,250,37,17,192,4588,1,2428,586,24,4989,19,3363,6,15,7,41,202,68,6,3537,3584,7,202,3051,24,2225,6,620,17,7,265,6,202,3051,7,1,1431,6,7,2197,1,68,362,13,1145,427,58,2016,6,3537,3584,7,4496,4486,1,389,1674,29,28,6,3537,3584,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,57,1,15,87,1,2428,586,24,4989,19,3363,85,1,331,37,17,2119,226,1,15,53,314,198,13,3213,109,8,15,83,48,662,51,15,53,2896,32,109,142,2,221,8,14,1,34,2428,586,24,4989,19,3363,750,17,42,42,42,4588,42,42,42,135,4448,233,35,2455,21,378,21,135,2455,21,378,2,1852,2522,2,1341,99,135,2455,21,2,3690,99,2,1341,281,2429,135,2455,21,378,2715,2,3443,2,3393,135,1318,2428,2715,2,3443,2,3393,135,222,4709,135,1900,1823,11,11
57,2578,15,3239,113,37,283,17,88,1,130,1,745,15,320,30,1,19,45,6,131,29,72,28,7,22,188,6,96,7,18,55,43,12,9,113,2,283,37,17,49,6,84,7,30,1,19,131,29,72,28,22,45,18,190,6,137,7,12,745,15,45,6,138,7,9,113,2,283,37,17,49,6,84,7,30,1,19,6,29,28,7,22,91,6,124,7,18,55,43,12,9,113,2,283,37,17,49,133,1,60,15,23,85,1,113,2,283,37,17,176,6,429,7,57,1,412,53,1,15,188,87,1,2742,1,21,3870,1587,2,690,31,3585,4547,4680,75,151,1,106,80,1,208,118,1,257,1435,1,203,2,2853,2,2,2,1492,1,2742,626,586,2742,3,349,2,203,3,409,620,283,2,17,4718,15,2206,103,3282,11,5,1700,2404,1828,1765,178,5,1756,11,2742,1,135,21,3870,1587,135,690,31,2279,4547,4680,75,25,135,940,317,268,136,21,1861,135,4102,1486,135,170,66,127,35,690,3226,64,2578,1,14,1,53,1470,690,46,150,63,1189,3338,1,14,1,690,27,13,3,212,996,92,51,13,944,266,25,21,3870,1587,3620,8,4977,11,343,3287,3279,39,12,596,2,1782,11,5,487,3870,6,3140,7,627,1545,210,2,2135,21,1181,2526,35,1502,3674,13,33,2265,11,5,210,224,61,1651,1415,3,3870,27,13,487,747,569,35,5,3140,1450,3,178,125,3674,4917,2,19,5,1700,2404,1828,6,690,7,10,5,1415,1779,11,2,10,33,2265,11,5,210,27,686,260,5,498,27,4373,11,3302,1186,10,260,65,61,802,5,2070,1186,11,5,210,3,21,5,27,126,4241,2543,2,146,33,210,4087,1014,102,1272,12,2318,3,561,1089,99,2,992,2,409,11,5,413,31,1949,1715,381,4264,12,5,3804,11,488,11,162,498,6,734,4232,734,2,1587,203,3,7,3,59,47,2135,21,5,516,8,582,2,18,471,12,2762,99,2,17,2,372,455,1554,3868,3620,21,3287,3279,3,1486,1,170,38,613,1,14,1,4702,1716,8,4232,619,1,14,1,4241,2543,31,40,136,26,1156,1,14,1,39,454,39,2404,1828,2279,4547,4680,1119,2,1888,288,1314,1280,1898,39,1184,5,1700,2404,1828,10,979,3443,12,63,11,1038,714,10,1386,58,690,31,1007,1730,4680,3,41,59,47,1747,21,31,1314,35,3869,2,620,19,39,3,41,11
88,1,30,1,19,1507,6,2768,29,2820,28,7,22,91,6,124,7,18,55,43,12,9,101,2,276,120,17,49,30,1,19,2807,6,7,22,1507,6,641,6,522,7,624,7,9,113,2,341,120,17,176,6,463,7,338,1,60,15,2807,23,85,1,113,2,341,120,17,176,6,429,7,57,1,143,53,1,683,15,188,87,1,548,1008,351,1,361,470,1,106,80,1,180,9,591,118,1,257,183,1,821,6,14,1,819,7,827,1,825,143,361,276,2,17,548,1008,351,1,361,361,17,415,3690,99,203,3,121,41,548,1008,351,1240,18,2120,2569,35,548,337,33,48,2775,264,2611,3693,3,5,380,3540,12,40,351,83,1066,1685,3,26,693,225,325,25,479,1641,268,324,31,8,415,100,1013,13,2037,1878,693,225,325,25,548,31,10,3726,767,1709,48,116,25,48,184,379,1652,12,242,68,2780,1951,68,2780,1951,3242,68,3690,25,317,4923,809,785,1491,10,1926,2,242,664,5,1495,8,32,725,95,186,129,999,3,71,18,5,864,1701,8,47,964,21,5,4880,27,1014,8,200,3,178,63,1485,8,235,20,32,1879,712,2,93,48,629,265,2,35,13,301,582,301,2489,2,3,170,32,4602,2,242,65,47,2775,58,2,256,2827,46,1255,64,798,3,9,461,27,13,3402,11,108,2720,474,39,10,4686,48,1538,39,154,456,266,25,53,235,20,2926,682,18,32,725,12,5,2,93,56,1174,13,1188,1344,33,65,47,545,35,32,843,3,2533,35,8,71,843,1,14,1,8,893,5,1188,1344,3,83,213,275,5,1344,974,35,5,467,1692,3,53,456,13,817,11,38,1188,1344,12,32,189,2,440,32,548,2037,1878,3,479,1641,268,783,16,396,620,436,2,17,59,47,35,5,333,58,5,126,11,854,3,3998,3313,128,31,13,102,1082,10,13,3884,796,8,800,13,548,3,268,4750,1366,48,469,1357,25,173,11,77,3349,720,361,86,2,17,10,620,436,2,17,233,2124,32,4017,3,48,5,2719,1,16,16,42,191,52,2719,16,42,281,52,2719,4169,3070,12,32,1408,48,265,19,32,548,2037,1878,10,58,3,1190,27,3349,39,2,2,2,2,2,2,767,1709,2,10,3,2,2,10,787,48,61,3349,3,252,35,2,8,275,32,864,12,1191,25,324,31,8,325,31,13,1,548,27,1094,10,3362
57,15,4258,113,605,209,17,88,1,130,1,745,15,320,30,1,19,45,6,131,29,72,28,7,22,188,6,96,7,18,55,43,12,9,113,2,209,605,17,49,6,84,7,30,1,19,131,29,72,28,22,45,18,190,6,137,7,12,745,15,45,6,138,7,9,113,2,2500,605,17,49,6,84,7,30,1,19,6,29,28,7,22,91,6,124,7,18,55,43,12,9,113,2,209,605,17,49,30,1,19,6,45,29,72,28,7,22,6,7,18,55,43,9,113,2,209,605,17,724,30,1,19,6,29,28,7,22,6,7,18,55,43,12,9,113,2,209,605,17,724,30,1,19,6,29,28,7,22,6,887,4332,6,2622,1158,250,992,7,7,18,55,43,60,15,23,12,15,4258,9,112,2,2202,605,17,176,6,429,7,57,1,3608,87,1,1563,1,2981,10,207,293,53,1,15,4258,133,1,60,15,23,151,1,106,80,1,1392,9,530,26,6,7,26,1,2,739,1,6,9,1597,9,202,9,9,7,1,60,15,23,60,15,23,60,15,23,1,8,47,2410,2,8,47,2410,382,1,15,4258,782,1,15,4258,1048,1,15,4258,995,1,2908,519,1,459,226,1,15,4258,1313,1,1585,1,883,1,2,1019,1,1962,110,778,1,2,1424,1,2201,1,112,2,2202,605,17,176,85,1,112,2,2202,605,17,176,1435,1,203,2,2538,2,2,2,2,2,2,2,2,1492,1,75,27,13,930,160,21,765,489,3,4,6,7,3449,1,208,9,828,9,1,452,3251,2,36,239,4270,1,86,3,128,27,551,8,3447,5,3,99,3,75,4715,11,638,3,107,3,75,4715,11,638,3,24,107,983,5,1930,11,20,51,246,51,44,2815,148,3,4876,628,4430,35,5,2,36,239,157,22,13,1917,33,5,638,21,89,812,140,2217,2,364,2,1830,3,36,1540,1649,204,3669,1102,18,10,374,5,2,10,33,321,5,1781,1967,3,4977,5,318,1843,3665,300,3,41,301,2,40,26,2,1148,204,638,22,13,3168,2752,374,5,3,38,18,5,1007,2,40,26,2,1652,18,5,3,465,5,27,2852,35,2,1862,33,899,4715,2507,1,39,4615,2673,48,2,1640,5,1347,545,11,638,13,66,835,3,75,27,2219,21,40,1216,26,10,40,632,26,3,39,41,786,2110,11,5,40,705,26,27,21,369
57,2845,15,81,54,305,17,88,1,130,1,745,15,2859,30,1,19,45,6,45,29,72,28,7,22,2834,6,96,7,18,55,43,12,9,81,2,305,54,17,111,6,192,7,30,1,19,647,29,72,28,22,45,18,190,6,137,7,12,745,15,45,6,138,7,9,81,2,305,54,17,49,6,84,7,30,1,19,4020,6,29,28,7,22,91,6,124,7,18,55,43,12,9,81,2,305,54,17,49,30,1,22,4020,6,641,6,522,7,624,7,9,81,2,305,54,17,111,6,463,7,118,1,1348,80,1,699,9,530,26,4,4,4,4,4,26,9,152,26,236,26,85,1,81,2,305,54,17,111,782,1,57,1,40,339,667,26,151,1,106,133,1,60,16,16,16,15,23,519,1,174,226,1,40,339,667,26,382,1,40,339,667,26,87,1,2,1066,83,13,34,53,1,4127,15,188,1,1435,1,203,2,2853,2,3095,2,4625,2,2,2,2,2,4907,2,3474,2,2,2,2,3892,2,4400,1492,1,75,27,13,930,160,21,765,489,68,4,4,4,4,4,4,80,1,208,9,152,26,236,26,1661,1,2127,118,1,257,53,893,38,544,21,2,405,1,14,1,324,5,1543,27,4235,10,661,6,3951,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,39,750,305,2,17,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,39,526,486,3131,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,39,135,2,1894,303,103,34,135,3164,34,135,1660,3704,339,667,2427,186,347,10,1358,2,4001,10,4083,2,328,186,299,3,1114,1730,285,1491,16,401,2,550,175,13,2308,13,326,3,94,32,2900,168,1104,27,914,8,63,454,973,2,165,405,14,1,4159,10,996,92,518,663,655,46,507,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,39,2156,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
57,15,3686,104,54,209,17,88,1,130,1,745,15,2859,30,1,19,45,6,45,29,72,28,7,22,2834,6,96,7,18,55,43,12,9,104,2,209,54,17,111,6,192,7,30,1,19,647,29,72,28,22,45,18,190,6,137,7,12,745,15,45,6,138,7,9,104,2,2500,54,17,49,6,84,7,30,1,19,158,6,296,29,294,28,7,22,91,6,124,7,18,55,43,12,9,104,2,209,54,17,49,30,1,19,3686,6,29,28,7,22,158,6,218,7,18,55,43,12,9,101,2,331,54,17,49,30,1,19,273,1780,245,22,3686,18,98,890,9,101,2,331,54,17,176,133,1,4099,1,15,3686,226,1,40,423,2042,2278,26,57,1,40,26,53,1,40,423,2042,2278,26,87,1,2024,25,36,424,102,116,3,85,1,101,2,331,54,17,176,151,1,106,1289,1,770,444,98,788,1129,1,2202,54,17,6,925,7,915,29,28,80,1,699,9,530,26,4,4,26,75,27,13,930,160,21,765,489,3,4,4,4,80,1,208,9,152,26,236,26,118,1,360,100,8,2374,38,160,8,20,18,815,3,42,1030,2,32,155,270,224,61,389,1084,3,42,212,221,8,32,352,3755,12,38,657,10,322,32,352,42,8,40,3606,141,26,3,14,1,2436,4571,4,4,4,80,1,180,9,152,26,236,26,118,1,360,3457,3500,3465,2,2,2,2,2,42,70,129,1,24,524,9,69,70,129,1,24,9,69,2,2,1,253,70,129,1,24,2420,9,69,2,70,129,1,24,9,69,70,129,1,24,9,69,2,1,253,2,70,129,1,24,9,69,2,2,70,129,1,24,9,69,2,2,2,70,129,1,24,9,69,70,129,1,24,1259,9,69,2,1,253,2,2,2,2,42,70,129,1,24,309,9,69,70,129,1,24,9,69,3457,12,3465,3457,3500,3465,70,241,1,24,524,9,69,70,241,1,24,9,69,70,241,1,24,2420,9,69,70,241,1,24,9,69,70,241,1,24,9,69,2,24,70,241,1,24,9,69,70,241,1,24,9,69,70,241,1,24,9,69,70,241,1,24,9,69,70,241,1,24,9,69,70,241,1,24,9,69,70,241,1,24,9,69,70,241,1,24,9,69,222,926,35,423,2042,42,2278,2024,25,36,424,102,116,3,179,3615
88,1,30,1,19,1980,6,3692,29,3543,28,7,22,91,6,124,7,18,55,43,12,9,101,2,283,120,17,49,30,1,19,2724,6,4972,7,22,1980,6,641,6,522,7,624,7,9,101,2,283,120,17,176,6,463,7,338,1,60,15,2724,23,85,1,101,2,283,120,17,176,6,429,7,57,1,40,143,557,404,2121,26,53,1,683,15,188,87,1,143,3104,1,2,21,3227,1510,470,1,106,80,1,180,9,591,118,1,257,183,1,821,6,14,1,819,7,827,1,825,2,21,3227,1510,744,557,177,143,41,132,898,666,235,390,25,1953,31,666,1731,86,330,572,1350,557,1,428,1331,375,1,2406,361,283,2,17,2,21,3227,1510,31,1476,311,395,3714,254,806,5,2209,21,1,297,78,74,32,725,3899,2,1908,1,36,76,78,238,63,3803,2361,240,557,31,2985,3783,11,182,595,1331,3,3803,2361,313,2,21,3227,1510,48,13,1510,33,254,3402,2689,95,421,4292,8,714,2,1246,1148,2,10,564,264,5,136,3,1377,5,386,126,2,5,3227,1000,22,143,557,187,801,5,870,35,686,3,361,283,2,17,2,602,1204,79,240,614,730,31,1476,311,31,2,3651,19,311,33,254,806,2209,1027,406,432,13,1398,501,2,1292,8,58,1928,3,178,63,2496,1469,8,13,1928,132,267,2,400,149,259,634,21,31,10,3682,3,41,806,362,802,11,5,1754,31,627,249,2,1640,205,5,1381,8,564,46,5,1754,154,163,406,65,47,3150,264,5,46,3504,1102,3,361,283,2,17,2,847,1204,79,240,614,730,395,3714,254,806,5,2209,21,103,437,3714,12,98,31,395,155,904,33,1936,488,10,996,1084,90,311,10,786,5,273,270,572,8,2895,3,592,169,512,592,2067,13,3913,1267,1469,8,488,11,1032,95,1964,1088,1208,6,2007,7,3714,12,395,2,2571,33,13,3974,21,5,254,806,3380,4256,210,35,13,31,304,3,1032,1431,13,3170,12,5,846,1469,51,364,3,361,283,2,17,2,602,1204,79,240,614,730,1,297,78,74,32,725,103,11,2829,2597,27,2842,674,136,245,4825,8,115,13,10,3232,92,8,381,3674,8,3,103,657,531,5,1700,2404,1828,2,5,842,6,7,2,10,5,644,12,10,1036,27,8,4629,725,219,149,48,5,11,3843,1119,686,3804,2,134,546,8,5,11,156,146,2671,125,381,95
57,15,113,54,500,17,88,1,130,1,745,15,2859,30,1,19,45,6,45,29,72,28,7,22,2834,6,96,7,18,55,43,12,9,113,2,500,54,17,111,6,192,7,30,1,19,647,29,72,28,22,45,18,190,6,137,7,12,745,15,45,6,138,7,9,113,2,500,54,17,49,6,84,7,30,1,19,2634,6,4690,29,4722,28,7,22,91,6,124,7,18,55,43,12,9,113,2,500,54,17,49,30,1,19,6,29,28,7,22,2634,18,1219,6,1057,2858,24,86,6,1809,7,7,43,12,9,113,2,500,54,17,176,57,1,53,1,40,26,87,1,1,750,500,2,17,133,1,85,1,113,2,500,54,17,176,1,287,1026,3,1435,1,203,2,2853,2,2,4907,2,2,2,2,2,2,3995,4400,1492,1,6,83,48,726,38,109,260,20,662,8,44,6,7,3,170,127,35,147,8,314,165,420,5,1005,11,38,109,7,3,287,3,3,29,528,28,86,3,3,99,3,308,3,107,3,1576,103,2091,3,191,3,3558,441,121,3,287,3,3388,1847,560,2,75,326,93,239,321,13,820,3233,3,391,20,2076,261,2,114,1105,4893,843,27,22,13,945,33,406,8,5,425,1138,406,134,1445,344,8,20,3,795,2615,1812,1245,19,1309,2,472,2,267,3312,2,1212,3,1847,27,13,843,3,650,93,56,2290,33,93,48,2472,1847,8,2,13,1802,945,22,528,3,100,48,948,38,260,5,267,2668,8,2738,58,13,911,2,18,102,488,10,2238,102,1515,13,299,2,10,93,238,13,945,33,65,2134,38,1366,3,100,835,33,65,76,38,12,200,2,10,528,27,1640,200,5,1468,8,150,38,964,3,83,65,420,5,1466,613,116,1,14,1,446,59,38,3086,20,34,178,5,301,2,20,1250,78,231,246,1781,195,251,5,267,59,989,8,2738,10,5,1847,1238,59,47,862,8,2134,5,1366,3,178,774,20,59,231,102,580,35,5,267,33,362,1629,11,5,2615,3025,2934,3,650,71,273,56,157,194,3,41,1930,11,5,267,59,150,5,8,21,5,914,516,3,94,20,56,635,105,38,46,114,195,11,5,267,2,165,835,168,8,109,148,2,15,3,36,575,5,2924,3,1040,20,12,32,3468,389,11,1847,10,5,1075,1664,2185,3,2739,2,1847,86,3,1847,2668,8,2738,2,10,44,31
88,1,30,1,19,1507,6,2768,29,2820,28,7,22,91,6,124,7,18,55,43,12,9,104,2,305,120,17,49,30,1,19,3063,6,7,22,1507,6,641,6,522,7,624,7,9,104,2,305,120,17,176,6,463,7,338,1,60,15,3063,23,85,1,104,2,305,120,17,176,6,429,7,57,1,40,143,557,3171,26,53,1,1207,15,188,87,1,3104,1,4610,1573,18,2341,470,1,106,80,1,180,9,591,118,1,257,183,1,821,6,14,1,819,7,827,1,825,143,3171,2121,3278,4538,1,4119,3309,4783,1237,166,302,4377,166,3626,3339,166,166,166,4728,898,666,235,390,25,1953,31,666,1731,86,330,572,1350,557,1,428,1331,375,1,2406,361,305,2,17,1182,64,935,9,143,143,557,3803,557,31,2985,3783,11,182,595,2361,313,4610,1573,18,2341,103,2291,21,5,1928,11,31,2341,2755,2096,600,13,21,485,1941,2680,3,3038,916,491,162,4768,10,858,19,4420,596,2,143,31,256,2755,435,2,46,1303,2,8,3,41,3210,2755,383,435,2,46,1303,2,8,3,2510,185,4277,2,51,1109,432,347,11,2488,10,4086,298,712,21,1729,3,41,2143,4077,435,2,46,1303,2,8,4,162,3733,4450,3,41,1182,64,935,9,892,1548,435,2,46,1303,2,8,3,235,4095,916,31,4768,916,491,35,1958,162,1689,10,858,4768,12,5,1007,1082,2,2571,44,2668,8,2262,315,748,19,304,3,41,169,400,44,184,4856,1689,12,5,1082,33,3829,99,59,1357,16,902,2,92,105,209,1303,19,385,307,31,1007,1082,2,18,858,11,279,2388,474,748,3,561,1158,408,2,5,169,4607,1689,187,1759,16,902,10,858,58,276,2388,474,3082,4031,52,660,8,4420,2064,4420,596,2668,8,264,5,3513,3,4420,2272,3969,22,550,175,16,1556,2,1815,13,4958,1303,21,712,10,1674,476,1682,33,44,254,2738,162,186,219,44,1815,17,3619,858,1958,3,4580,21,204,11,5,870,2,4420,31,884,82,51,4612,3,52,3582,4207,4395,12,1092,132,1092,2,134,13,536,11,3050,21,5,1007,1082,2,400,44,8,35,3582,31,11,373,1390,10,3922,35,713,813,8,3321,162,186,3,40,3666,3359,146,189,2745,787,167,10,1246,48,2472,66,230,373,1578,51,149,231,5,681,10,33,44,2870,2,26,2,1092,31,1152,4071,12,3582,2,400,21,63,2735,1958,3,40,466,31
88,1,30,1,19,2129,6,3895,29,3857,28,7,22,91,6,124,7,18,55,43,12,9,112,2,408,120,17,49,30,1,19,2750,6,7,22,2129,6,641,6,522,7,624,7,9,112,2,408,120,17,176,6,463,7,338,1,60,15,2750,23,85,1,112,2,408,120,17,176,6,429,7,57,1,1570,53,1,683,15,188,87,1,661,93,225,1564,71,2063,2629,29,28,470,1,106,80,1,180,9,591,118,1,257,183,1,821,6,14,1,819,7,827,1,825,375,1570,586,2,408,2,17,661,93,225,1564,71,2063,2629,764,4312,2,391,11,1502,2,361,349,2,1570,27,379,1703,35,2,2,10,2,1517,11,979,402,13,326,3,41,1570,1199,544,59,3468,8,47,1703,328,2680,661,48,93,948,38,34,461,48,899,3766,2,117,5,244,1014,108,27,1640,148,13,1739,76,66,175,140,1601,13,4485,77,299,21,456,8,2161,3,36,239,157,1360,979,13,326,12,276,516,184,2,10,36,653,47,8,20,119,36,438,78,8,379,66,175,13,476,3963,3,684,2,36,239,157,35,357,13,1187,33,36,56,78,157,862,8,1799,46,2161,51,290,156,51,36,653,167,3,75,102,2629,928,36,213,56,66,126,8,115,74,2,688,66,2,231,66,337,2,10,2840,102,994,46,3,506,44,263,1161,21,13,66,2558,10,943,1570,12,20,3,1189,126,185,928,36,59,47,862,8,233,35,899,1515,36,239,157,2,531,108,33,254,4506,58,5,4257,1484,1384,329,1989,3,384,105,33,973,2,830,77,5,503,48,383,3,170,184,2,5,102,2629,27,379,987,13,40,1045,2,26,134,928,44,254,1471,74,8,47,4,46,1824,61,3,100,213,545,44,264,5,454,11,5,1298,10,231,147,44,790,3,36,32,3468,389,11,1570,3,1371,5,2417,59,47,550,2,36,59,480,47,35,143,573,328,58,1204,6,46,7,10,1682,20,59,1470,148,223,3,1758,2,1024,3568,1878,504,1570,1387,92,12,66,168,1130,19,375,41,155,142,12,32,285,27,683,15,188,568,79,670,302,896,79,710,79,622,467,2992,79,592,79,1253,79,1772,79,2387,79,1065,79,3377,445,17,143,596,2,447,177,421,577,3,375,27,13,581,245,1531,11,143,596,2,1288,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1,30,1,19,2129,6,3895,29,3857,28,7,22,91,6,124,7,18,55,43,12,9,101,2,276,120,17,49,30,1,19,3037,6,7,22,2129,6,641,6,522,7,624,7,9,101,2,276,120,17,176,6,463,7,338,1,60,15,3037,23,85,1,101,2,276,120,17,176,6,429,7,57,1,40,143,557,404,2121,26,53,1,683,15,188,87,1,143,3104,1,4731,831,163,619,470,1,106,80,1,180,9,591,118,1,257,183,1,821,6,14,1,819,7,827,1,825,4731,831,163,619,744,557,177,143,41,132,898,666,235,390,25,1953,31,666,1731,86,330,572,1350,557,1,428,1331,375,1,2406,361,276,2,17,4731,831,163,619,529,31,1,222,2,3429,1798,10,66,98,2476,485,471,8,1625,538,578,2391,256,4629,1,4096,1801,41,1254,1241,27,194,840,44,31,551,8,231,866,5,666,870,27,8,517,1254,19,379,3,240,614,730,4731,831,163,619,33,44,31,61,13,126,8,509,63,136,1793,169,3,41,11,4137,77,105,357,51,2,210,357,51,2007,10,2,10,357,51,3,361,276,2,17,2,602,1204,79,240,614,730,529,31,1,222,2,3429,1798,10,66,391,5,607,21,222,723,2,529,1449,2071,2075,8,5,4970,11,5,607,451,603,785,249,10,74,102,1190,2,531,13,3429,1798,10,12,139,3,340,5,169,4688,230,18,162,132,298,689,3,361,276,2,17,2,1204,79,240,614,730,98,2476,485,98,59,2573,1514,162,2476,485,51,13,498,3069,19,5,139,785,249,3,98,59,989,8,1436,21,162,40,2961,26,51,645,11,139,2,117,59,537,162,725,5,102,1579,11,1312,5,485,51,13,3069,498,329,307,2,98,3398,400,38,326,3,41,2476,485,1240,13,501,4071,18,13,945,8,1428,10,1812,127,105,488,2,304,888,10,1450,1249,3,98,704,4891,10,201,2666,21,5,210,315,3,361,276,2,17,2,602,1204,79,240,614,730,471,8,1625,538,578,2391,538,578,2391,27,1396,8,3853,371,5,553,2510,1145,1958,33,1912,785,3564,1670,59,207,2591,51,5,787,31,203,3,99,1877,2,1292,8,13,905,1145,8,5,169,3,2,146,185,2427,51,5,1912,11,5,169,31,811,626,2720,2,254,3749,58,5,373,742,13,1449,27,634,3,340,5,12,31,59,47,569,35,207,293,1910,2,5
